Entry #,Date,Player Name,Team,Tile,Item Received,Points,Awarded Points,Image,,,Team,Total Points,,,
1092,23/02/2026,L 7,Team 1 - Ba-Ba's Big Banana Boys,Pharoah Sceptre / Blood Shard,Pharaoh's Sceptre,3,3,,2/23/2026,,,,,,
1094,23/02/2026,Old Cynique,Team 7 - #Zamn67uwu>:3xD,DT2 Bosses,Ice Quartz,1,1,,2/23/2026,,,,,,
1095,23/02/2026,Lorna Snore,Team 1 - Ba-Ba's Big Banana Boys,DT2 Bosses,Ice Quartz,1,1,,2/23/2026,,,,,,
1096,23/02/2026,FE Pubes,Team 1 - Ba-Ba's Big Banana Boys,Pharoah Sceptre / Blood Shard,Pharaoh's Sceptre,3,3,,2/23/2026,,,,,,
1097,23/02/2026,Stoke024,Team 2 - Send Noots,Chambers of Xeric,Metamorphic Dust,5,5,,2/23/2026,,,,,,
1098,23/02/2026,Cartoon19F3,Team 2 - Send Noots,Barrows / Moons,Guthan's Helm,1,1,,2/23/2026,,,,,,
1099,23/02/2026,phzyqo,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Revenants / Wildy Shields,Odium Shard 2,2,2,,2/23/2026,,,,,,
1100,23/02/2026,Osmussy,Team 3 - Toes of Amascut,God Wars Dungeon,Saradomin Sword,1,1,,2/23/2026,,,,,,
1101,23/02/2026,Coleyo,Team 7 - #Zamn67uwu>:3xD,Colo / Inferno,Dizana's Quiver,1,1,,2/23/2026,,,,,,
1102,23/02/2026,Lorna Snore,Team 1 - Ba-Ba's Big Banana Boys,Zulrah,Jar of Swamp,5,5,,2/23/2026,,,,,,
1103,23/02/2026,Wonky Dust,Team 7 - #Zamn67uwu>:3xD,DT2 Bosses,Ice Quartz,1,1,,2/23/2026,,,,,,
1104,23/02/2026,Sjieve,Team 2 - Send Noots,Barrows / Moons,Torag's Hammers,1,1,,2/23/2026,,,,,,
1105,23/02/2026,H5rioon,Team 3 - Toes of Amascut,Slayer Bosses,Unsired,1,1,,2/23/2026,,,,,,
1106,23/02/2026,B0nx,Team 2 - Send Noots,Chambers of Xeric,Twisted Ancestral Colour Kit,3,3,,2/23/2026,,,,,,
1107,23/02/2026,CIA PKed JFK,Team 3 - Toes of Amascut,God Wars Dungeon,Godsword Shard 3,1,1,,2/23/2026,,,,,,
1108,23/02/2026,Chesto Berry,Team 1 - Ba-Ba's Big Banana Boys,Tormented / Demonics,Zenyte Shard,2,2,,2/23/2026,,,,,,
1109,23/02/2026,L Hav Ligma,Team 1 - Ba-Ba's Big Banana Boys,DT2 Bosses,Chromium Ingot,3,3,,2/23/2026,,,,,,
1111,23/02/2026,FE Pubes,Team 1 - Ba-Ba's Big Banana Boys,Dragons,Hueycoatl Hide,1,1,,2/23/2026,,,,,,
1113,23/02/2026,FE Pubes,Team 1 - Ba-Ba's Big Banana Boys,Dragons,Hueycoatl Hide,1,1,,2/23/2026,,,,,,
1114,23/02/2026,50 Traits,Team 1 - Ba-Ba's Big Banana Boys,Dragons,Hueycoatl Hide,1,1,,2/23/2026,,,,,,
1116,23/02/2026,Sjieve,Team 2 - Send Noots,Barrows / Moons,Karil's Leatherskirt,1,1,,2/23/2026,,,,,,
1117,23/02/2026,H5rioon,Team 3 - Toes of Amascut,Dragons,Hueycoatl Hide,1,1,,2/23/2026,,,,,,
1118,23/02/2026,BarlowBvB,Team 3 - Toes of Amascut,GOTR / Tempoross / WT,Dragon Harpoon,5,5,,2/23/2026,Evidence: https://i.vgy.me/B3mUp7.png,,,,,
1119,23/02/2026,Osmussy,Team 3 - Toes of Amascut,God Wars Dungeon,Godsword Shard 3,1,1,,2/23/2026,,,,,,
1120,23/02/2026,Jin U,Team 3 - Toes of Amascut,Tormented / Demonics,Heavy Frame,3,3,,2/23/2026,,,,,,
1122,23/02/2026,Osmussy,Team 3 - Toes of Amascut,God Wars Dungeon,Godsword Shard 1,1,1,,2/23/2026,,,,,,
1123,23/02/2026,Iron Thrage,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Dragons,Dragon Hunter Wand,3,3,,2/23/2026,,,,,,
1124,23/02/2026,phzyqo,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Revenants / Wildy Shields,Malediction Shard 2,2,2,,2/23/2026,,,,,,
1125,23/02/2026,phzyqo,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Revenants / Wildy Shields,Odium Shard 2,2,2,,2/23/2026,,,,,,
1126,23/02/2026,phzyqo,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Revenants / Wildy Shields,Malediction Shard 2,2,2,,2/23/2026,,,,,,
1127,23/02/2026,Saintonis,Team 6 - Mulch Munchers,Dragons,Dragon Metal Sheet,1,1,,2/23/2026,,,,,,
1128,23/02/2026,Plink Cay,Team 7 - #Zamn67uwu>:3xD,Colo / Inferno,Sunfire Fanatic Helm,2,2,,2/23/2026,,,,,,
1130,23/02/2026,So Far To Go,Team 7 - #Zamn67uwu>:3xD,Dagannoth Kings,Dragon Axe,1,1,,2/23/2026,,,,,,
1131,23/02/2026,Iron Adiowa,Team 7 - #Zamn67uwu>:3xD,Spider / Bear / Skeleton,Fangs of Venenatis,1,1,,2/23/2026,,,,,,
1132,23/02/2026,So Far To Go,Team 7 - #Zamn67uwu>:3xD,Dagannoth Kings,Dragon Axe,1,1,,2/23/2026,,,,,,
1133,23/02/2026,So Far To Go,Team 7 - #Zamn67uwu>:3xD,Dagannoth Kings,Dragon Axe,1,1,,2/23/2026,,,,,,
1134,23/02/2026,Plink Cay,Team 7 - #Zamn67uwu>:3xD,Colo / Inferno,Dizana's Quiver,1,1,,2/23/2026,,,,,,
1135,23/02/2026,Plink Cay,Team 7 - #Zamn67uwu>:3xD,Colo / Inferno,Echo Crystal,2,2,,2/23/2026,,,,,,
1137,23/02/2026,Iron Thrage,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Yama,Oathplate Helm,5,5,,2/23/2026,,,,,,
1138,23/02/2026,Gim retro s,Team 4 - Juiced Up Jubblies,Theatre of Blood,Avernic Defender,2,2,,2/23/2026,,,,,,
1140,23/02/2026,Osmussy,Team 3 - Toes of Amascut,God Wars Dungeon,Saradomin Sword,1,1,,2/23/2026,,,,,,
1141,23/02/2026,Lorna Snore,Team 1 - Ba-Ba's Big Banana Boys,Dragons,Hueycoatl Hide,1,1,,2/23/2026,,,,,,
1142,23/02/2026,Osmussy,Team 3 - Toes of Amascut,God Wars Dungeon,Saradomin Sword,1,1,,2/23/2026,,,,,,
1143,23/02/2026,50 Traits,Team 1 - Ba-Ba's Big Banana Boys,Dragons,Hueycoatl Hide,1,1,,2/23/2026,,,,,,
1144,23/02/2026,Sjieve,Team 2 - Send Noots,Barrows / Moons,Dharok's Greataxe,1,1,,2/23/2026,,,,,,
1145,23/02/2026,Lorna Snore,Team 1 - Ba-Ba's Big Banana Boys,Dragons,Hueycoatl Hide,1,1,,2/23/2026,,,,,,
1146,23/02/2026,CASPERASKE ,Team 1 - Ba-Ba's Big Banana Boys,Dragons,Hueycoatl Hide,1,1,,2/23/2026,,,,,,
1147,23/02/2026,Fe Keir,Team 1 - Ba-Ba's Big Banana Boys,Dragons,Hueycoatl Hide,1,1,,2/23/2026,,,,,,
1148,23/02/2026,Warnock IM,Team 2 - Send Noots,Royal Titans,Fire Element Staff Crown,3,3,,2/23/2026,,,,,,
1149,23/02/2026,Chesto Berry,Team 1 - Ba-Ba's Big Banana Boys,Dragons,Tome of Earth,3,3,,2/23/2026,,,,,,
1150,23/02/2026,grp ryanman,Team 1 - Ba-Ba's Big Banana Boys,Dragons,Dragon Metal Sheet,1,1,,2/23/2026,,,,,,
1151,23/02/2026,GIM Chibbi,Team 2 - Send Noots,God Wars Dungeon,Armadyl Crossbow,3,3,,2/23/2026,,,,,,
1152,23/02/2026,Plink Cay,Team 7 - #Zamn67uwu>:3xD,Dragons,Hueycoatl Hide,1,1,,2/23/2026,,,,,,
1153,23/02/2026,Snusician,Team 3 - Toes of Amascut,Zulrah,Magic Fang,2,2,,2/23/2026,,,,,,
1154,23/02/2026,iskoldjesper,Team 2 - Send Noots,Pharoah Sceptre / Blood Shard,Blood Shard,1,1,,2/23/2026,,,,,,
1155,23/02/2026,OnlySpooned,Team 4 - Juiced Up Jubblies,God Wars Dungeon,Saradomin Sword,1,1,,2/23/2026,,,,,,
1156,23/02/2026,Iron speesh,Team 3 - Toes of Amascut,Slayer Bosses,Eternal Crystal,3,3,,2/23/2026,,,,,,
1157,23/02/2026,Glewts,Team 1 - Ba-Ba's Big Banana Boys,Dragons,Hueycoatl Hide,1,1,,2/23/2026,,,,,,
1158,23/02/2026,B endi,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Colo / Inferno,Dizana's Quiver,1,1,,2/23/2026,,,,,,
1159,23/02/2026,Iron Thrage,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Chambers of Xeric,Dragon Claws,3,3,,2/23/2026,,,,,,
1160,23/02/2026,Plink Cay,Team 7 - #Zamn67uwu>:3xD,Dragons,Tome of Earth,3,3,,2/23/2026,,,,,,
1161,23/02/2026,smot smot,Team 7 - #Zamn67uwu>:3xD,DT2 Bosses,Chromium Ingot,3,3,,2/23/2026,,,,,,
1162,23/02/2026,Kekla,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Doom of Mokhaiotl,Eye of Ayak,5,5,,2/23/2026,,,,,,
1164,23/02/2026,GIM Chibbi,Team 2 - Send Noots,God Wars Dungeon,Godsword Shard 2,1,1,,2/23/2026,,,,,,
1165,23/02/2026,Warnock IM,Team 2 - Send Noots,Royal Titans,Fire Element Staff Crown,3,3,,2/23/2026,,,,,,
1166,23/02/2026,Warnock IM,Team 2 - Send Noots,Royal Titans,Giantsoul Amulet,1,1,,2/23/2026,,,,,,
1168,23/02/2026,Basotto,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,God Wars Dungeon,Godsword Shard 3,1,1,,2/23/2026,,,,,,
1169,23/02/2026,Osmussy,Team 3 - Toes of Amascut,God Wars Dungeon,Godsword Shard 2,1,1,,2/23/2026,,,,,,
1170,23/02/2026,Warnock IM,Team 2 - Send Noots,Royal Titans,Giantsoul Amulet,1,1,,2/23/2026,,,,,,
1171,23/02/2026,Sjieve,Team 2 - Send Noots,Spider / Bear / Skeleton,Dragon 2h Sword,2,2,,2/23/2026,,,,,,
1173,23/02/2026,Stoke024,Team 2 - Send Noots,Chambers of Xeric,Dragon Hunter Crossbow,2,2,,2/23/2026,,,,,,
1174,23/02/2026,Warnock IM,Team 2 - Send Noots,Royal Titans,Giantsoul Amulet,1,1,,2/23/2026,,,,,,
1175,23/02/2026,Iron speesh,Team 3 - Toes of Amascut,Slayer Bosses,Eternal Crystal,3,3,,2/23/2026,,,,,,
1177,23/02/2026,Mr Cath,Team 2 - Send Noots,Spider / Bear / Skeleton,Dragon Pickaxe,2,2,,2/23/2026,,,,,,
1178,23/02/2026,Warnock IM,Team 2 - Send Noots,Royal Titans,Giantsoul Amulet,1,1,,2/23/2026,,,,,,
1179,23/02/2026,L 7,Team 1 - Ba-Ba's Big Banana Boys,Tormented / Demonics,Ballista Spring,2,2,,2/23/2026,,,,,,
1180,23/02/2026,Basotto,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,God Wars Dungeon,Saradomin's Light,1,1,,2/23/2026,,,,,,
1181,23/02/2026,Skull FE,Team 6 - Mulch Munchers,God Wars Dungeon,Bandos Boots,2,2,,2/23/2026,,,,,,
1182,23/02/2026,So Far To Go,Team 7 - #Zamn67uwu>:3xD,Dragons,Tome of Earth,3,3,,2/23/2026,,,,,,
1183,23/02/2026,Iron Adiowa,Team 7 - #Zamn67uwu>:3xD,Spider / Bear / Skeleton,Dragon Pickaxe,2,2,,2/23/2026,,,,,,
1184,23/02/2026,So Far To Go,Team 7 - #Zamn67uwu>:3xD,Dragons,Hueycoatl Hide,1,1,,2/23/2026,,,,,,
1185,23/02/2026,OnlySpooned,Team 4 - Juiced Up Jubblies,God Wars Dungeon,Saradomin Sword,1,1,,2/23/2026,,,,,,
1186,23/02/2026,Smeeeheee,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Barrows / Moons,Dharok's Greataxe,1,1,,2/23/2026,,,,,,
1187,23/02/2026,OnlySpooned,Team 4 - Juiced Up Jubblies,God Wars Dungeon,Saradomin Sword,1,1,,2/23/2026,,,,,,
1189,23/02/2026,Groedels,Team 2 - Send Noots,Spider / Bear / Skeleton,Dragon 2h Sword,2,2,,2/23/2026,,,,,,
1190,23/02/2026,Sa lad,Team 1 - Ba-Ba's Big Banana Boys,God Wars Dungeon,Godsword Shard 2,1,1,,2/23/2026,,,,,,
1191,23/02/2026,Mr Cath,Team 2 - Send Noots,Spider / Bear / Skeleton,Ring of the Gods,3,3,,2/23/2026,,,,,,
1192,23/02/2026,Thrallen00,Team 2 - Send Noots,Meme Tile,Hobgoblin Champion Scroll,3,1,,2/23/2026,,,,,,
1193,23/02/2026,IM Richigo,Team 7 - #Zamn67uwu>:3xD,Chambers of Xeric,Arcane Prayer Scroll,1,1,,2/23/2026,,,,,,
1194,23/02/2026,aocl,Team 7 - #Zamn67uwu>:3xD,Shards,Crystal Weapon Seed,2,2,,2/23/2026,,,,,,
1195,23/02/2026,Ironlad C,Team 1 - Ba-Ba's Big Banana Boys,Theatre of Blood,Justiciar Legguards,3,3,,2/23/2026,,,,,,
1196,23/02/2026,Basotto,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Tombs of Amascut,Osmumten's Fang,1,1,,2/23/2026,,,,,,
1197,23/02/2026,Kekla,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Barrows / Moons,Dharok's Helm,1,1,,2/23/2026,,,,,,
1199,23/02/2026,Osmussy,Team 3 - Toes of Amascut,Meme Tile,Curved Bone,3,3,,2/23/2026,,,,,,
1201,23/02/2026,IM Richigo,Team 7 - #Zamn67uwu>:3xD,Chambers of Xeric,Arcane Prayer Scroll,1,1,,2/23/2026,,,,,,
1202,23/02/2026,Kekla,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Barrows / Moons,Karil's Leatherskirt,1,1,,2/23/2026,,,,,,
1203,23/02/2026,aocl,Team 7 - #Zamn67uwu>:3xD,Shards,Crystal Armour Seed,2,2,,2/23/2026,,,,,,
1204,23/02/2026,Saintonis,Team 6 - Mulch Munchers,Slayer Misc,Granite Maul,1,1,,2/23/2026,,,,,,
1205,23/02/2026,Saintonis,Team 6 - Mulch Munchers,Slayer Misc,Granite Maul,1,1,,2/23/2026,,,,,,
1206,23/02/2026,Saintonis,Team 6 - Mulch Munchers,Slayer Misc,Granite Maul,1,1,,2/23/2026,,,,,,
1207,23/02/2026,Saintonis,Team 6 - Mulch Munchers,Slayer Misc,Granite Maul,1,1,,2/23/2026,,,,,,
1208,23/02/2026,Saintonis,Team 6 - Mulch Munchers,Slayer Misc,Granite Maul,1,1,,2/23/2026,,,,,,
1209,23/02/2026,Maself,Team 1 - Ba-Ba's Big Banana Boys,Royal Titans,Fire Element Staff Crown,3,3,,2/23/2026,,,,,,
1210,23/02/2026,Plink Cay,Team 7 - #Zamn67uwu>:3xD,DT2 Bosses,Smoke Quartz,1,1,,2/23/2026,,,,,,
1211,24/02/2026,Maself,Team 1 - Ba-Ba's Big Banana Boys,Royal Titans,Giantsoul Amulet,1,1,,2/24/2026,,,,,,
1212,24/02/2026,Jin U,Team 3 - Toes of Amascut,Tormented / Demonics,Ballista Limb,2,2,,2/24/2026,,,,,,
1213,24/02/2026,BarelyMining,Team 3 - Toes of Amascut,God Wars Dungeon,Godsword Shard 2,1,1,,2/24/2026,,,,,,
1214,24/02/2026,LostAtSearme,Team 3 - Toes of Amascut,God Wars Dungeon,Saradomin's Light,1,1,,2/24/2026,,,,,,
1215,24/02/2026,BarelyMining,Team 3 - Toes of Amascut,God Wars Dungeon,Saradomin Hilt,5,4,,2/24/2026,,,,,,
1216,24/02/2026,Demon Dic,Team 4 - Juiced Up Jubblies,Royal Titans,Giantsoul Amulet,1,1,,2/24/2026,,,,,,
1218,24/02/2026,Skaebryda,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Tormented / Demonics,Light Frame,2,2,,2/24/2026,,,,,,
1219,24/02/2026,NotArnr,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,God Wars Dungeon,Godsword Shard 1,1,1,,2/24/2026,,,,,,
1220,24/02/2026,K 4 D E,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,God Wars Dungeon,Armadyl Chestplate,2,2,,2/24/2026,,,,,,
1221,24/02/2026,K 4 D E,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,God Wars Dungeon,Godsword Shard 1,1,1,,2/24/2026,,,,,,
1222,24/02/2026,Tztok 8Incok,Team 4 - Juiced Up Jubblies,Tormented / Demonics,Zenyte Shard,2,2,,2/24/2026,,,,,,
1223,24/02/2026,Ex M0bileuim,Team 6 - Mulch Munchers,Revenants / Wildy Shields,Malediction Shard 2,2,2,,2/24/2026,,,,,,
1225,24/02/2026,Obsoleete,Team 6 - Mulch Munchers,Revenants / Wildy Shields,Ancient Statuette,2,2,,2/24/2026,,,,,,
1226,24/02/2026,Dekai Oppai,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Meme Tile,Ghoul Champion Scroll,3,3,,2/24/2026,,,,,,
1227,24/02/2026,Ferrousbrett,Team 2 - Send Noots,Shards,Crystal Armour Seed,2,2,,2/24/2026,,,,,,
1228,24/02/2026,Dekai Oppai,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Royal Titans,Giantsoul Amulet,1,1,,2/24/2026,,,,,,
1230,24/02/2026,Bertshire ,Team 4 - Juiced Up Jubblies,Royal Titans,Fire Element Staff Crown,3,3,,2/24/2026,,,,,,
1231,24/02/2026,Demon Dic,Team 4 - Juiced Up Jubblies,Royal Titans,Giantsoul Amulet,1,1,,2/24/2026,,,,,,
1232,24/02/2026,Chesto Berry,Team 1 - Ba-Ba's Big Banana Boys,Zulrah,Magic Fang,2,2,,2/24/2026,,,,,,
1233,24/02/2026,Fe Keir,Team 1 - Ba-Ba's Big Banana Boys,Dragons,Dragon Metal Sheet,1,1,,2/24/2026,,,,,,
1234,24/02/2026,Fe Keir,Team 1 - Ba-Ba's Big Banana Boys,Dragons,Dragon Metal Sheet,1,1,,2/24/2026,,,,,,
1235,24/02/2026,Sa lad,Team 1 - Ba-Ba's Big Banana Boys,DT2 Bosses,Siren't Staff,5,5,,2/24/2026,,,,,,
1236,24/02/2026,Cartoon19F3,Team 2 - Send Noots,Barrows / Moons,Dharok's Platebody,1,1,,2/24/2026,,,,,,
1237,24/02/2026,king Ovu,Team 2 - Send Noots,Chambers of Xeric,Dexterous Prayer Scroll,1,1,,2/24/2026,,,,,,
1239,24/02/2026,Cartoon19F3,Team 2 - Send Noots,Barrows / Moons,Ahrim's Staff,1,1,,2/24/2026,,,,,,
1240,24/02/2026,Warnock IM,Team 2 - Send Noots,Dagannoth Kings,Mud Battlestaff,1,1,,2/24/2026,,,,,,
1241,24/02/2026,Warnock IM,Team 2 - Send Noots,Dagannoth Kings,Seer's Ring,1,1,,2/24/2026,,,,,,
1242,24/02/2026,Warnock IM,Team 2 - Send Noots,Dagannoth Kings,Dragon Axe,1,1,,2/24/2026,,,,,,
1244,24/02/2026,Warnock IM,Team 2 - Send Noots,Dagannoth Kings,Dragon Axe,1,1,,2/24/2026,,,,,,
1245,24/02/2026,B0nx,Team 2 - Send Noots,DT2 Bosses,Executioner's Axe Head,5,5,,2/24/2026,,,,,,
1246,24/02/2026,Iron speesh,Team 3 - Toes of Amascut,Tombs of Amascut,Masori Chaps,3,3,,2/24/2026,,,,,,
1247,24/02/2026,Nissassaah,Team 3 - Toes of Amascut,Colo / Inferno,Sunfire Fanatic Helm,2,2,,2/24/2026,,,,,,
1248,24/02/2026,Nissassaah,Team 3 - Toes of Amascut,Colo / Inferno,Dizana's Quiver,1,1,,2/24/2026,,,,,,
1249,24/02/2026,Zezimmour,Team 3 - Toes of Amascut,Dragons,Dragon Metal Sheet,1,1,,2/24/2026,,,,,,
1250,24/02/2026,Jin U,Team 3 - Toes of Amascut,Tormented / Demonics,Ballista Limb,2,2,,2/24/2026,,,,,,
1252,24/02/2026,ScumGIM,Team 4 - Juiced Up Jubblies,Meme Tile,Curved Bone,3,3,,2/24/2026,,,,,,
1253,24/02/2026,Nebbzyyy,Team 4 - Juiced Up Jubblies,Colo / Inferno,Sunfire Fanatic Cuirass,2,2,,2/24/2026,,,,,,
1254,24/02/2026,GIM Retro J,Team 4 - Juiced Up Jubblies,Royal Titans,Fire Element Staff Crown,3,3,,2/24/2026,,,,,,
1256,24/02/2026,ScumGIM,Team 4 - Juiced Up Jubblies,Slayer Bosses,Belle's Folly,3,3,,2/24/2026,,,,,,
1257,24/02/2026,Gim retro s,Team 4 - Juiced Up Jubblies,Royal Titans,Giantsoul Amulet,1,1,,2/24/2026,,,,,,
1258,24/02/2026,Tztok 8Incok,Team 4 - Juiced Up Jubblies,Royal Titans,Fire Element Staff Crown,3,3,,2/24/2026,,,,,,
1260,24/02/2026,ScumGIM,Team 4 - Juiced Up Jubblies,Royal Titans,Giantsoul Amulet,1,1,,2/24/2026,,,,,,
1261,24/02/2026,Gim retro s,Team 4 - Juiced Up Jubblies,Tombs of Amascut,Osmumten's Fang,1,1,,2/24/2026,,,,,,
1262,24/02/2026,Dekai Oppai,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Royal Titans,Giantsoul Amulet,1,1,,2/24/2026,,,,,,
1263,24/02/2026,MooMussy,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Barrows / Moons,Ahrim's Robetop,1,1,,2/24/2026,,,,,,
1264,24/02/2026,Fiddlestcks,Team 6 - Mulch Munchers,Barrows / Moons,Eclipse Atlatl,1,1,,2/24/2026,,,,,,
1266,24/02/2026,Kep,Team 6 - Mulch Munchers,Dragons,Dragon Metal Sheet,1,1,,2/24/2026,,,,,,
1267,24/02/2026,Lindsayvbee,Team 6 - Mulch Munchers,Slayer Misc,Sulphur Blades,2,2,,2/24/2026,,,,,,
1269,24/02/2026,Arklites,Team 6 - Mulch Munchers,Revenants / Wildy Shields,Odium Shard 1,2,2,,2/24/2026,,,,,,
1270,24/02/2026,Cory catfish,Team 6 - Mulch Munchers,Slayer Bosses,Unsired,1,1,,2/24/2026,,,,,,
1272,24/02/2026,GIMyNewtron,Team 6 - Mulch Munchers,Royal Titans,Giantsoul Amulet,1,1,,2/24/2026,,,,,,
1273,24/02/2026,Daixu,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,DT2 Bosses,Ice Quartz,1,1,,2/24/2026,,,,,,
1274,24/02/2026,smot smot,Team 7 - #Zamn67uwu>:3xD,Spider / Bear / Skeleton,Voidwaker Hilt,3,3,,2/24/2026,,,,,,
1275,24/02/2026,Plink Cay,Team 7 - #Zamn67uwu>:3xD,Colo / Inferno,Dizana's Quiver,1,1,,2/24/2026,,,,,,
1276,24/02/2026,50 Traits,Team 1 - Ba-Ba's Big Banana Boys,Dragons,Dragon Metal Sheet,1,1,,2/24/2026,,,,,,
1277,24/02/2026,Stronteter1,Team 1 - Ba-Ba's Big Banana Boys,Revenants / Wildy Shields,Ancient Statuette,2,2,,2/24/2026,,,,,,
1278,24/02/2026,50 Traits,Team 1 - Ba-Ba's Big Banana Boys,Dragons,Dragon Metal Sheet,1,1,,2/24/2026,,,,,,
1279,24/02/2026,Zezimmour,Team 3 - Toes of Amascut,Dragons,Dragon Metal Sheet,1,1,,2/24/2026,,,,,,
1281,24/02/2026,Osmussy,Team 3 - Toes of Amascut,Meme Tile,Giant Champion Scroll,3,3,,2/24/2026,,,,,,
1282,24/02/2026,OnlySpooned,Team 4 - Juiced Up Jubblies,God Wars Dungeon,Saradomin Hilt,5,5,,2/24/2026,,,,,,
1284,24/02/2026,OnlySpooned,Team 4 - Juiced Up Jubblies,God Wars Dungeon,Saradomin Sword,1,1,,2/24/2026,,,,,,
1285,24/02/2026,OnlySpooned,Team 4 - Juiced Up Jubblies,God Wars Dungeon,Godsword Shard 2,1,1,,2/24/2026,,,,,,
1286,24/02/2026,ElderSix,Team 4 - Juiced Up Jubblies,Shards,Crystal Armour Seed,2,2,,2/24/2026,,,,,,
1287,24/02/2026,Arklites,Team 6 - Mulch Munchers,Tombs of Amascut,Ward of Elidinis,3,3,,2/24/2026,,,,,,
1288,24/02/2026,AkseleratorX,Team 6 - Mulch Munchers,Dragons,Dragon Metal Sheet,1,1,,2/24/2026,,,,,,
1289,24/02/2026,Plink Cay,Team 7 - #Zamn67uwu>:3xD,Colo / Inferno,Dizana's Quiver,1,1,,2/24/2026,,,,,,
1290,24/02/2026,Plink Cay,Team 7 - #Zamn67uwu>:3xD,Colo / Inferno,Dizana's Quiver,1,1,,2/24/2026,,,,,,
1291,24/02/2026,IM Richigo,Team 7 - #Zamn67uwu>:3xD,Dagannoth Kings,Pet Dagannoth Rex,7,2,,2/24/2026,,,,,,
1292,24/02/2026,Iron Adiowa,Team 7 - #Zamn67uwu>:3xD,Spider / Bear / Skeleton,Callisto Cub,7,7,,2/24/2026,,,,,,
1293,24/02/2026,BarlowBvB,Team 3 - Toes of Amascut,Revenants / Wildy Shields,Ancient Emblem,2,2,,2/24/2026,,,,,,
1294,24/02/2026,Kobe Kenobi,Team 3 - Toes of Amascut,Revenants / Wildy Shields,Malediction Shard 2,2,2,,2/24/2026,,,,,,
1296,24/02/2026,Snusician,Team 3 - Toes of Amascut,Nightmare / PNM,Inquisitor's Great Helm,5,5,,2/24/2026,,,,,,
1297,24/02/2026,Thrallen00,Team 2 - Send Noots,Barrows / Moons,Torag's Helm,1,1,,2/24/2026,,,,,,
1298,24/02/2026,Lindsayvbee,Team 6 - Mulch Munchers,Spider / Bear / Skeleton,Skull of Vet'ion,1,1,,2/24/2026,,,,,,
1299,24/02/2026,Kciem,Team 7 - #Zamn67uwu>:3xD,Dragons,Hueycoatl Hide,1,1,,2/24/2026,,,,,,
1300,24/02/2026,Coleyo,Team 7 - #Zamn67uwu>:3xD,Dragons,Tome of Earth,3,3,,2/24/2026,,,,,,
1301,24/02/2026,Kciem,Team 7 - #Zamn67uwu>:3xD,Dragons,Dragon Hunter Wand,3,3,,2/24/2026,,,,,,
1302,24/02/2026,Lada vesta,Team 3 - Toes of Amascut,Zulrah,Tanzanite Mutagen,7,4,,2/24/2026,,,,,,
1303,24/02/2026,Jamine2,Team 3 - Toes of Amascut,Slayer Bosses,Belle's Folly,3,3,,2/24/2026,,,,,,
1304,24/02/2026,Osmussy,Team 3 - Toes of Amascut,Shards,Crystal Armour Seed,2,2,,2/24/2026,,,,,,
1305,24/02/2026,Iron Adiowa,Team 7 - #Zamn67uwu>:3xD,Dragons,Hueycoatl Hide,1,1,,2/24/2026,,,,,,
1307,24/02/2026,Cartoon19F3,Team 2 - Send Noots,Barrows / Moons,Ahrim's Robetop,1,1,,2/24/2026,,,,,,
1308,24/02/2026,Iron vilcan,Team 2 - Send Noots,Zulrah,Tanzanite Fang,2,2,,2/24/2026,,,,,,
1309,24/02/2026,Coleyo,Team 7 - #Zamn67uwu>:3xD,Dragons,Hueycoatl Hide,1,1,,2/24/2026,,,,,,
1310,24/02/2026,Flurpentine,Team 7 - #Zamn67uwu>:3xD,Shards,Enhanced Crystal Weapon Seed,5,5,,2/24/2026,,,,,,
