Entry #,Date,Player Name,Team,Tile,Item Received
512,17/09/2026 22:01,RudiTism,Team 3 - Gnome Ball Ballers Kittens uwu,Tormented Demons,Tormented Synapse
513,17/09/2026 22:01,grp ryanman,Team 4 - Team Lizard,Doom of Mokhaiotl,Avernic Treads
514,17/09/2026 22:01,zezimmour,Team 5 - The Rextards,Maggot King,Crimson Kisten
515,17/09/2026 22:01,zezimmour,Team 5 - The Rextards,Maggot King,Elder Venator Fang
516,17/09/2026 22:35,Lada Vesta,Team 5 - The Rextards,Araxxor,Araxyte Fang
517,17/09/2026 23:00,cbatrashgame,Team 5 - The Rextards,Inferno,Infernal Cape
518,17/09/2026 23:40,NoopersWoz,Team 1 - Fiddlestcks Flight Attendants,Inferno,Infernal Cape
519,17/09/2026 23:45,Snusician,Team 2 - The Bapstreet Boys,Tombs of Amascut 2,Masori Mask
520,17/09/2026 23:45,RudiTism,Team 3 - Gnome Ball Ballers Kittens uwu,Tormented Demons,Tormented Synapse
521,17/09/2026 23:45,Glewts,Team 3 - Gnome Ball Ballers Kittens uwu,Desert Treasure 2,Virtus Robe Top
522,17/09/2026 23:45,Jamine2,Team 4 - Team Lizard,Inferno,Infernal Cape
523,17/09/2026 23:45,Died at Zuk,Team 5 - The Rextards,Araxxor,Araxyte Fang
524,18/09/2026 00:20,T ipsy,Team 2 - The Bapstreet Boys,Tombs of Amascut 2,Masori Body
525,18/09/2026 02:00,Notarnr,Team 1 - Fiddlestcks Flight Attendants,Chambers of Xeric 2,Ancestral Hat
526,18/09/2026 02:00,OldShortBoot,Team 2 - The Bapstreet Boys,Tormented Demons,Tormented Synapse
527,18/09/2026 02:05,Arklites,Team 3 - Gnome Ball Ballers Kittens uwu,Doom of Mokhaiotl,Eye of Ayak
528,18/09/2026 02:05,Skull FE,Team 3 - Gnome Ball Ballers Kittens uwu,Araxxor,Noxious blade
529,18/09/2026 06:21,Pvt Peach,Team 3 - Gnome Ball Ballers Kittens uwu,Araxxor,Araxyte Fang
530,18/09/2026 06:22,Jmochi,Team 4 - Team Lizard,Yama,Soulflame Horn
531,18/09/2026 06:24,B0NX,Team 5 - The Rextards,Tormented Demons,Tormented Synapse
532,18/09/2026 06:24,Nuck Formies,Team 5 - The Rextards,Tormented Demons,Tormented Synapse
533,18/09/2026 06:25,Nuck Formies,Team 5 - The Rextards,Tormented Demons,Tormented Synapse
534,18/09/2026 06:25,Nuck Formies,Team 5 - The Rextards,Tormented Demons,Tormented Synapse
535,18/09/2026 06:26,Died at Zuk,Team 5 - The Rextards,Tormented Demons,Tormented Synapse
536,18/09/2026 07:10,RudiTism,Team 3 - Gnome Ball Ballers Kittens uwu,Yama,Oathplate Chest
537,18/09/2026 07:11,cheval grand,Team 3 - Gnome Ball Ballers Kittens uwu,Corporeal Beast,Elysian Sigil
538,18/09/2026 08:47,B0NX,Team 5 - The Rextards,Doom of Mokhaiotl,Eye of Ayak
539,18/09/2026 10:58,Iron Adiowa,Team 3 - Gnome Ball Ballers Kittens uwu,Araxxor,Noxious pommel
540,18/09/2026 11:33,B0NX,Team 5 - The Rextards,Doom of Mokhaiotl,Mokhaiotl Cloth
541,18/09/2026 11:33,Nuck Formies,Team 5 - The Rextards,Tormented Demons,Tormented Synapse
542,18/09/2026 12:42,grp ryanman,Team 4 - Team Lizard,Doom of Mokhaiotl,Mokhaiotl Cloth
543,18/09/2026 13:32,Lada Vesta,Team 5 - The Rextards,Desert Treasure 2,Lil'viathan
544,18/09/2026 13:44,TonkatsuSolo,Team 2 - The Bapstreet Boys,Doom of Mokhaiotl,Avernic Treads
545,18/09/2026 16:04,Jamine2,Team 4 - Team Lizard,Chambers of Xeric 2,Ancestral Robe Bottom
